ticker,revenue_n,revenue_aci_weighted,revenue_aci_unweighted,op_profit_n,op_profit_aci_weighted,op_profit_aci_unweighted,net_profit_n,net_profit_aci_weighted,net_profit_aci_unweighted,aci_weighted,aci_unweighted
6544,14,7.295630229750992,1.949839195737076,14,7.311064455340974,1.9539641660362113,14,7.209183644197096,1.9267353739228532,7.271959443096354,1.9435129118987133
6545,10,6.2872959604765954,1.988217555868203,10,3.879030250559296,1.2266570704461013,10,4.770748458246969,1.5086431271797125,4.979024889760953,1.574505917831339
6546,13,5.729034673987673,1.588948328921052,13,5.371777948040504,1.489863140928213,13,5.534045213926613,1.5348679830421912,5.54495261198493,1.5378931509638187
6547,11,6.313358550018346,1.9035492252175514,11,4.828024261963762,1.4557040868787587,11,3.6968669732233597,1.1146473318217025,4.946083261735156,1.4913002146393375
6548,6,2.893810731190428,1.1813932839344738,6,4.744643686791215,1.936992673992674,6,3.7384019105695168,1.5261961890568447,3.7922854428503867,1.5481940489946642
6549,14,7.33321625798494,1.9598844843214367,14,6.177224732800598,1.6509327536604317,14,5.488699124645124,1.4669165445362924,6.333046705143555,1.6925779275060535
6550,14,6.585325457658983,1.7600022602114442,14,5.622240329239144,1.5026069327225715,14,5.9354346459591465,1.5863116347690724,6.047666810952424,1.616306942567696
6552,11,6.560802510737234,1.9781563865215508,11,5.554015677067945,1.6745987345987345,11,5.657740733642776,1.7058730158730162,5.924186307149319,1.786209378997767
6555,14,7.3054977963044045,1.9524764138287947,14,5.875222298753206,1.5702192080763508,14,5.933654444339868,1.5858358558734496,6.371458179799159,1.7028438259261984
6557,11,6.540967204888207,1.9721758167848997,9,4.644444444444445,1.5481481481481483,11,3.3678817189336194,1.0154545454545454,4.851097789422091,1.5119261701291977
6558,4,3.926742241840557,1.9633711209202784,4,3.5615258408531583,1.7807629204265791,4,3.168181818181818,1.584090909090909,3.552149966958511,1.7760749834792555
6560,1,1.989818181818182,1.989818181818182,1,1.935555555555556,1.935555555555556,1,1.92,1.92,1.9484579124579124,1.9484579124579124
6561,13,6.740851862775581,1.8695759255034081,13,6.454053139110136,1.7900322713562242,13,6.181047128383728,1.7143140274959214,6.458650710089816,1.7913074081185176
6562,14,6.692087602918271,1.7885356437426763,14,4.935379436992661,1.3190356376397003,14,4.21200784181647,1.12570644674874,5.279824960575801,1.4110925760437054
6564,14,7.3281450536824835,1.9585291479615705,14,7.157743167961996,1.912987328359694,14,7.252037468277113,1.9381885401671752,7.2459752299738645,1.93656833882948
6565,14,7.303549046392874,1.9519555885072624,14,6.332830732856789,1.6925202064844742,14,6.087787321533265,1.6270296000516922,6.5747223669276424,1.757168465014476
6566,14,7.4142403449622964,1.981539082431825,14,6.851960017292309,1.8312633437558195,14,6.7715830253567555,1.8097816890699385,7.01259446253712,1.874194705085861
6568,14,7.172185178659344,1.9168471180743796,14,4.63200555173126,1.237955556300941,14,4.337613425751386,1.1592759511023212,5.380601385380664,1.4380262084925473
6570,14,7.0438518992088435,1.8825486064297448,14,4.467072555423377,1.1938753588753588,14,4.256596371917727,1.1376232326786515,5.25584027551665,1.4046823993279183
6571,0,,,0,,,0,,,,
6572,14,4.69557054864582,1.254944016318486,14,6.757844372527868,1.8061098796526862,14,3.1217404441180583,0.8343202280232356,4.858385121763916,1.2984580413314692
6573,13,5.587752412439538,1.5497636798191046,13,4.290780528721063,1.190048400620483,13,0.8675880092202368,0.24062561947856065,3.5820403167936123,0.9934792333060494
